time_sec,people_count,people_smooth
0.0,28,28.0
0.04,28,28.0
0.08,31,29.0
0.12,32,29.75
0.16,30,29.8
0.2,32,30.166666666666668
0.24,33,30.571428571428573
0.28,32,30.75
0.32,31,30.77777777777778
0.36,30,30.7
0.4,33,30.90909090909091
0.44,32,31.0
0.48,31,31.0
0.52,29,30.857142857142858
0.56,30,30.8
0.6,30,30.933333333333334
0.64,28,30.933333333333334
0.68,30,30.866666666666667
0.72,32,30.866666666666667
0.76,31,30.933333333333334
0.8,31,30.866666666666667
0.84,29,30.6
0.88,28,30.333333333333332
0.92,30,30.266666666666666
0.96,30,30.266666666666666
1.0,30,30.066666666666666
1.04,33,30.133333333333333
1.08,32,30.2
1.12,32,30.4
1.16,30,30.4
1.2,30,30.4
1.24,28,30.4
1.28,28,30.266666666666666
1.32,29,30.066666666666666
1.36,26,29.733333333333334
1.4,26,29.4
1.44,28,29.333333333333332
1.48,29,29.4
1.52,31,29.466666666666665
1.56,31,29.533333333333335
1.6,31,29.6
1.64,28,29.266666666666666
1.68,29,29.066666666666666
1.72,30,28.933333333333334
1.76,31,29.0
1.8,31,29.066666666666666
1.84,31,29.266666666666666
1.88,31,29.466666666666665
1.92,32,29.666666666666668
1.96,31,30.0
2.0,29,30.2
2.04,35,30.666666666666668
2.08,31,30.8
2.12,30,30.733333333333334
2.16,32,30.8
2.2,32,30.866666666666667
2.24,30,31.0
2.28,34,31.333333333333332
2.32,36,31.733333333333334
2.36,33,31.866666666666667
2.4,33,32.0
2.44,34,32.2
2.48,34,32.4
2.52,33,32.46666666666667
2.56,33,32.6
2.6,33,32.86666666666667
2.64,33,32.733333333333334
2.68,32,32.8
2.72,32,32.93333333333333
2.76,32,32.93333333333333
2.8,34,33.06666666666667
2.84,34,33.333333333333336
2.88,34,33.333333333333336
2.92,35,33.266666666666666
2.96,37,33.53333333333333
3.0,37,33.8
3.04,36,33.93333333333333
3.08,33,33.86666666666667
3.12,35,34.0
3.16,34,34.06666666666667
3.2,35,34.2
3.24,33,34.2
3.28,35,34.4
3.32,34,34.53333333333333
3.36,33,34.6
3.4,34,34.6
3.44,32,34.46666666666667
3.48,32,34.333333333333336
3.52,31,34.06666666666667
3.56,32,33.733333333333334
3.6,30,33.266666666666666
3.64,32,33.0
3.68,35,33.13333333333333
3.72,33,33.0
3.76,33,32.93333333333333
3.8,29,32.53333333333333
3.84,29,32.266666666666666
3.88,31,32.0
3.92,33,31.933333333333334
3.96,35,32.06666666666667
4.0,34,32.06666666666667
4.04,32,32.06666666666667
4.08,33,32.13333333333333
4.12,31,32.13333333333333
4.16,31,32.06666666666667
4.2,30,32.06666666666667
4.24,30,31.933333333333334
4.28,30,31.6
4.32,27,31.2
4.36,27,30.8
4.4,27,30.666666666666668
4.44,28,30.6
4.48,29,30.466666666666665
4.52,29,30.2
4.56,30,29.866666666666667
4.6,26,29.333333333333332
4.64,29,29.133333333333333
4.68,27,28.733333333333334
4.72,24,28.266666666666666
4.76,25,27.866666666666667
4.8,28,27.733333333333334
4.84,30,27.733333333333334
4.88,27,27.533333333333335
4.92,30,27.733333333333334
4.96,31,28.0
5.0,32,28.333333333333332
5.04,32,28.6
5.08,29,28.6
5.12,31,28.733333333333334
5.16,30,28.733333333333334
5.2,27,28.8
5.24,28,28.733333333333334
5.28,29,28.866666666666667
5.32,29,29.2
5.36,28,29.4
5.4,26,29.266666666666666
5.44,26,29.0
5.48,28,29.066666666666666
5.52,29,29.0
5.56,28,28.8
5.6,28,28.533333333333335
5.64,27,28.2
5.68,28,28.133333333333333
5.72,29,28.0
5.76,29,27.933333333333334
5.8,28,28.0
5.84,28,28.0
5.88,29,28.0
5.92,28,27.933333333333334
5.96,27,27.866666666666667
6.0,27,27.933333333333334
6.04,28,28.066666666666666
6.08,28,28.066666666666666
6.12,28,28.0
6.16,28,28.0
6.2,28,28.0
6.24,27,28.0
6.28,27,27.933333333333334
6.32,26,27.733333333333334
6.36,26,27.533333333333335
6.4,28,27.533333333333335
6.44,27,27.466666666666665
6.48,28,27.4
6.52,27,27.333333333333332
6.56,28,27.4
6.6,28,27.466666666666665
6.64,28,27.466666666666665
6.68,29,27.533333333333335
6.72,29,27.6
6.76,29,27.666666666666668
6.8,29,27.733333333333334
6.84,28,27.8
6.88,28,27.866666666666667
6.92,28,28.0
6.96,28,28.133333333333333
7.0,28,28.133333333333333
7.04,28,28.2
7.08,26,28.066666666666666
7.12,27,28.066666666666666
7.16,27,28.0
7.2,27,27.933333333333334
7.24,27,27.866666666666667
7.28,26,27.666666666666668
7.32,26,27.466666666666665
7.36,26,27.266666666666666
7.4,26,27.066666666666666
7.44,26,26.933333333333334
7.48,26,26.8
7.52,27,26.733333333333334
7.56,27,26.666666666666668
7.6,27,26.6
7.64,28,26.6
7.68,28,26.733333333333334
7.72,29,26.866666666666667
7.76,29,27.0
7.8,28,27.066666666666666
7.84,29,27.2
7.88,30,27.466666666666665
7.92,30,27.733333333333334
7.96,31,28.066666666666666
8.0,29,28.266666666666666
8.04,29,28.466666666666665
8.08,28,28.6
8.12,26,28.533333333333335
8.16,28,28.6
8.2,28,28.666666666666668
8.24,26,28.533333333333335
8.28,25,28.333333333333332
8.32,25,28.066666666666666
8.36,24,27.733333333333334
8.4,23,27.4
8.44,25,27.133333333333333
8.48,26,26.866666666666667
8.52,25,26.533333333333335
8.56,26,26.2
8.6,24,25.866666666666667
8.64,23,25.466666666666665
8.68,22,25.066666666666666
8.72,26,25.066666666666666
8.76,27,25.0
8.8,25,24.8
8.84,27,24.866666666666667
8.88,23,24.733333333333334
8.92,23,24.6
8.96,22,24.466666666666665
9.0,22,24.4
9.04,22,24.2
9.08,22,23.933333333333334
9.12,22,23.733333333333334
9.16,23,23.533333333333335
9.2,25,23.6
9.24,27,23.866666666666667
9.28,25,24.066666666666666
9.32,20,23.666666666666668
9.36,20,23.2
9.4,18,22.733333333333334
9.44,20,22.266666666666666
9.48,23,22.266666666666666
9.52,24,22.333333333333332
9.56,22,22.333333333333332
9.6,24,22.466666666666665
9.64,24,22.6
9.68,22,22.6
9.72,21,22.533333333333335
9.76,19,22.266666666666666
9.8,19,21.866666666666667
9.84,21,21.466666666666665
9.88,18,21.0
9.92,17,20.8
9.96,18,20.666666666666668
10.0,22,20.933333333333334
10.04,20,20.933333333333334
10.08,21,20.8
10.12,24,20.8
10.16,26,21.066666666666666
10.2,26,21.2
10.24,24,21.2
10.28,23,21.266666666666666
10.32,26,21.6
10.36,26,22.066666666666666
10.4,25,22.466666666666665
10.44,24,22.666666666666668
10.48,25,23.133333333333333
10.52,25,23.666666666666668
10.56,24,24.066666666666666
10.6,26,24.333333333333332
10.64,26,24.733333333333334
10.68,24,24.933333333333334
10.72,25,25.0
10.76,28,25.133333333333333
10.8,24,25.0
10.84,25,25.066666666666666
10.88,24,25.133333333333333
10.92,25,25.066666666666666
10.96,24,24.933333333333334
11.0,24,24.866666666666667
11.04,25,24.933333333333334
11.08,24,24.866666666666667
11.12,24,24.8
11.16,22,24.666666666666668
11.2,25,24.6
11.24,26,24.6
11.28,23,24.533333333333335
11.32,24,24.466666666666665
11.36,23,24.133333333333333
11.4,24,24.133333333333333
11.44,25,24.133333333333333
11.48,23,24.066666666666666
11.52,23,23.933333333333334
11.56,24,23.933333333333334
11.6,25,24.0
11.64,23,23.866666666666667
11.68,22,23.733333333333334
11.72,26,23.866666666666667
11.76,25,24.066666666666666
11.8,26,24.133333333333333
11.84,26,24.133333333333333
11.88,26,24.333333333333332
11.92,25,24.4
11.96,25,24.533333333333335
12.0,23,24.466666666666665
12.04,23,24.333333333333332
12.08,24,24.4
12.12,24,24.466666666666665
12.16,22,24.333333333333332
12.2,22,24.133333333333333
12.24,27,24.4
12.28,24,24.533333333333335
12.32,26,24.533333333333335
12.36,27,24.666666666666668
12.4,21,24.333333333333332
12.44,20,23.933333333333334
12.48,24,23.8
12.52,21,23.533333333333335
12.56,20,23.2
12.6,24,23.266666666666666
12.64,23,23.266666666666666
12.68,25,23.333333333333332
12.72,25,23.4
12.76,23,23.466666666666665
12.8,26,23.733333333333334
12.84,28,23.8
12.88,25,23.866666666666667
12.92,26,23.866666666666667
12.96,25,23.733333333333334
13.0,26,24.066666666666666
13.04,28,24.6
13.08,26,24.733333333333334
13.12,26,25.066666666666666
13.16,28,25.6
13.2,26,25.733333333333334
13.24,26,25.933333333333334
13.28,26,26.0
13.32,28,26.2
13.36,31,26.733333333333334
13.4,30,27.0
13.44,28,27.0
13.48,27,27.133333333333333
13.52,27,27.2
13.56,28,27.4
13.6,29,27.6
